content_id,source_type,source_url,status,error
83,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/Public_Advisory.pdf,error,'category' is an invalid keyword argument for ContentChunk
47,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/other/form9.pdf,error,'category' is an invalid keyword argument for ContentChunk
48,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/other/other-103120000000007917-pdf-6.pdf,error,'category' is an invalid keyword argument for ContentChunk
49,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/other/other-application-form-pdf-8.pdf,error,'category' is an invalid keyword argument for ContentChunk
51,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/other/other-form11-pdf-10.pdf,error,'category' is an invalid keyword argument for ContentChunk
52,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/other/other-form15-pdf-11.pdf,error,'category' is an invalid keyword argument for ContentChunk
53,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/other/other-form7-pdf-12.pdf,error,'category' is an invalid keyword argument for ContentChunk
97,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/railways/1388401894116-DAR-SF-1-2-4-5-7-and-8.pdf,error,'category' is an invalid keyword argument for ContentChunk
8,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/Form_7_Eng.pdf,error,'category' is an invalid keyword argument for ContentChunk
56,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/other/other-national-data-platform-5.pdf,error,'category' is an invalid keyword argument for ContentChunk
58,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/pan/ITR1_Notified-Form-AY-2023-24.pdf,error,'category' is an invalid keyword argument for ContentChunk
59,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/pan/pan-itr-4-notified-form-ay-2022-6.pdf,error,'category' is an invalid keyword argument for ContentChunk
60,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/pan/pan-itr1-notified-form-ay-2023-24-pdf-53.pdf,error,'category' is an invalid keyword argument for ContentChunk
61,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/pan/pan-itr2-notified-form-ay-2023-24-pdf-7.pdf,error,'category' is an invalid keyword argument for ContentChunk
62,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/pan/pan__form-for-changes-in-pan-pdf__430162.pdf,error,'category' is an invalid keyword argument for ContentChunk
63,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/pan/pan__form-for-changes-in-pan-pdf__996976.pdf,error,'category' is an invalid keyword argument for ContentChunk
64,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/parivahan/FORM-1A.pdf,error,'category' is an invalid keyword argument for ContentChunk
65,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/parivahan/FORM-2.pdf,error,'category' is an invalid keyword argument for ContentChunk
66,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/parivahan/FORM-7.pdf,error,'category' is an invalid keyword argument for ContentChunk
67,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/parivahan/parivahan-form-1a-pdf-13.pdf,error,'category' is an invalid keyword argument for ContentChunk
68,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/parivahan/parivahan-form-2-pdf-14.pdf,error,'category' is an invalid keyword argument for ContentChunk
70,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/parivahan/parivahan-form-7-pdf-16.pdf,error,'category' is an invalid keyword argument for ContentChunk
72,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/AnnexureB.pdf,error,'category' is an invalid keyword argument for ContentChunk
73,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/AnnexureC.pdf,error,'category' is an invalid keyword argument for ContentChunk
74,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/AnnexureD.pdf,error,'category' is an invalid keyword argument for ContentChunk
75,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/AnnexureE.pdf,error,'category' is an invalid keyword argument for ContentChunk
77,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/AnnexureG.pdf,error,'category' is an invalid keyword argument for ContentChunk
78,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/AnnexureH.pdf,error,'category' is an invalid keyword argument for ContentChunk
79,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/AnnexureI.pdf,error,'category' is an invalid keyword argument for ContentChunk
